date,platform,age_group,region,device,campaign_type,hour,impressions,month,click_rate,clicks,cpc,cost,conversion_rate,conversions,day,fatigue_factor,ctr,conversion_rate_actual,cpc_actual,cost_per_conversion
2025-01-01,Google,36-50,North India,Desktop,Text,8,79015,1,0.0199191824075955,1573,0.9,1415.7,0.0935518821660726,147,0,1.0,0.019907612478643297,0.09345200254291164,0.9,9.630612244897959
2025-01-02,Instagram,36-50,West India,Desktop,Video,7,90463,1,0.0427041160515666,3863,1.3,5021.900000000001,0.1405058894382506,541,1,0.99996,0.04270254137050507,0.14004659590991458,1.3,9.282624768946397
2025-01-03,Instagram,36-50,South India,Desktop,Image,9,34292,1,0.0411219599467087,1410,1.3,1833.0,0.1908216841939059,268,2,0.99992,0.04111746179867024,0.1900709219858156,1.3,6.83955223880597
2025-01-04,Instagram,26-35,North India,Mobile,Image,8,20491,1,0.0369832029967861,757,1.3,984.1,0.1547565432286676,116,3,0.99988,0.03694304816748817,0.15323645970937913,1.3,8.483620689655172
2025-01-05,Google,36-50,North India,Mobile,Video,7,58294,1,0.0769801259680848,4487,0.9,4038.3,0.1493055454991448,668,4,0.99984,0.07697190105328164,0.1488745264096278,0.9,6.045359281437126
2025-01-06,Google,18-25,North India,Mobile,Text,6,67629,1,0.0327447591947374,2214,0.9,1992.6,0.0852633533949702,187,5,0.9998,0.032737435123985276,0.08446251129177959,0.8999999999999999,10.65561497326203
2025-01-07,Google,36-50,South India,Mobile,Text,21,97544,1,0.0269230802284902,2626,0.9,2363.4,0.1328353174232453,347,6,0.99976,0.026921184286065776,0.13214013709063213,0.9,6.810951008645533
2025-01-08,Instagram,18-25,South India,Mobile,Text,23,66640,1,0.0568289138697735,3787,1.3,4923.1,0.0456095109840769,171,7,0.99972,0.056827731092436974,0.045154475838394506,1.3,28.790058479532167
2025-01-09,Instagram,36-50,West India,Mobile,Image,5,19123,1,0.0726338469945777,1388,1.3,1804.4,0.1722451475326284,238,8,0.99968,0.07258275375202636,0.17146974063400577,1.3,7.581512605042017
2025-01-10,Instagram,36-50,North India,Mobile,Image,1,93472,1,0.0621058639024864,5805,1.3,7546.5,0.1108280729154236,642,9,0.99964,0.062104159534406025,0.11059431524547804,1.3,11.754672897196262
2025-01-11,Google,18-25,South India,Desktop,Image,8,65618,1,0.0395538651137988,2595,0.9,2335.5,0.1214297299482659,314,10,0.9996,0.03954707549757688,0.1210019267822736,0.9,7.437898089171974
2025-01-12,Instagram,36-50,North India,Mobile,Image,8,84596,1,0.0951659849835074,8050,1.3,10465.0,0.0766810319307166,616,11,0.99956,0.09515816350654878,0.07652173913043478,1.3,16.988636363636363
2025-01-13,Instagram,36-50,North India,Desktop,Image,18,25288,1,0.1027818873532848,2599,1.3,3378.7000000000003,0.0384508028042886,98,12,0.99952,0.10277602024675736,0.03770681031165833,1.3,34.4765306122449
2025-01-14,Google,36-50,West India,Mobile,Text,8,90947,1,0.0250027572530699,2273,0.9,2045.7,0.041287939898684,92,13,0.99948,0.024992578094934412,0.040475142982842056,0.9,22.235869565217392
2025-01-15,Google,26-35,South India,Desktop,Video,1,46091,1,0.0476437576979801,2195,0.9,1975.5,0.101403963035327,221,14,0.99944,0.047623180230413745,0.10068337129840546,0.9,8.938914027149321
2025-01-16,Google,18-25,South India,Mobile,Text,18,79872,1,0.0498136085028341,3978,0.9,3580.2000000000003,0.1082884052645227,429,15,0.9994,0.0498046875,0.10784313725490197,0.9,8.345454545454546
2025-01-17,Google,36-50,North India,Desktop,Text,15,60216,1,0.0596717801587124,3593,0.9,3233.7000000000003,0.0417487548216129,149,16,0.99936,0.05966852663743855,0.04146952407458948,0.9,21.702684563758392
2025-01-18,Google,18-25,North India,Mobile,Image,21,78162,1,0.0824265637526698,6442,0.9,5797.8,0.1672829171888867,1076,17,0.99932,0.08241856656687394,0.167028873020801,0.9,5.388289962825279
2025-01-19,Google,18-25,West India,Mobile,Video,13,59785,1,0.0439728436662672,2628,0.9,2365.2000000000003,0.1170414115303797,306,18,0.99928,0.04395751442669566,0.11643835616438356,0.9000000000000001,7.729411764705883
